Time [s],Bend Die Lateral Max Torque [%],Bend Die Rotating Max Torque [%],Bend Die Vertical Max Torque [%],Bend Die Lateral Movement [mm],Bend Die Rotating Angle [°],Bend Die Vertical Movement [mm],Collet Axial Max Torque [%],Collet Rotating Max Torque [%],Collet Axial Movement [mm],Collet Rotating Movement [mm],Mandrel Axial Load [kN],Manrel Axial Movement [mm],Pressure Die Axial Max Torque [%],Pressure Die Lateral Max Torque [%],Pressure Die Left Axial Max Torque [%],Pressure Die Axial Movement [mm],Pressure Die Lateral Movement [mm],Pressure Die Left Axial Movement [mm],Clamp Die Lateral Max Torque [%],Clamp Die Lateral Movement [mm]
0.0,0.31662270426750200,0.42857155203819300,-11.592592239379900,-33.0,90.0,19.75,-0.7033336162567140,3.2142858505249000,-290.0,209.88040161132800,0.0665856642553343,-2907.60009765625,0.0,12.391000747680700,0.15000000596046400,-4.800000190734860,-20.0,-7.5,1.350000023841860,150.0
0.05,0.31662270426750200,0.42857155203819300,-11.629629135131800,-33.0,90.0,19.75,-0.7046669721603390,3.095237970352170,-290.0,209.88040161132800,0.0699356082807537,-2907.60009765625,0.0,12.355500221252400,0.15000000596046400,-4.800000190734860,-20.0,-7.5,1.350000023841860,150.0
0.1,0.343007892370224,0.42857155203819300,-11.629629135131800,-33.0,90.0,19.75,-0.7033336758613590,3.095237970352170,-290.0,209.88040161132800,0.0682606362680161,-2907.60009765625,0.0,11.423999786377000,0.17499999701976800,-4.800000190734860,-20.00160026550290,-7.5,1.350000023841860,150.0
0.15000000000000000,0.343007892370224,0.42857155203819300,-11.592592239379900,-33.0,90.0,19.75,-0.7020003795623780,3.095237970352170,-290.0,209.88040161132800,0.0699356082807537,-2907.60009765625,0.0,7.794500350952150,0.17499999701976800,-4.800000190734860,-20.02050018310550,-7.5,1.350000023841860,150.0
0.2,0.343007892370224,0.43071436882019000,-11.629629135131800,-33.0,90.0,19.75,-0.7013336420059200,3.095237970352170,-290.0000915527340,209.88040161132800,0.071610580293548,-2907.60009765625,0.0,2.4055001735687300,0.20000000298023200,-4.800000190734860,-20.068300247192400,-7.5,1.350000023841860,150.0
0.25,0.343007892370224,0.43071436882019000,-11.592592239379900,-33.0,90.0,19.75,-0.7026669383049010,3.095237970352170,-290.0000915527340,209.88040161132800,0.0632357202301338,-2907.60009765625,0.0,-2.357499599456790,0.17499999701976800,-4.800000190734860,-20.107500076293900,-7.5,1.350000023841860,150.0
0.30000000000000000,0.343007892370224,0.42928585410118100,-11.592592239379900,-33.0,90.0,19.75,-0.7026669383049010,3.095237970352170,-290.0,209.88040161132800,0.058210804192726,-2907.60009765625,0.0,-8.211000442504880,0.15000000596046400,-4.800000190734860,-20.17060089111330,-7.5,1.350000023841860,150.0
0.35000000000000000,0.343007892370224,0.4300001263618470,-11.592592239379900,-33.0,90.0,19.75,-0.6980003118515020,3.095237970352170,-290.0,209.88040161132800,0.0598857762051442,-2907.60009765625,0.0,-16.1095027923584,0.15000000596046400,-4.800000190734860,-20.25550079345700,-7.5,1.350000023841860,150.0
0.4,0.343007892370224,0.42928585410118100,-11.592592239379900,-33.0,90.0,19.75,-0.6980003118515020,3.095237970352170,-289.9999084472660,209.88040161132800,0.058210804192726,-2907.60009765625,0.0,-20.02899932861330,0.17499999701976800,-4.800000190734860,-20.36370086669920,-7.5,1.350000023841860,150.0
0.45,0.343007892370224,0.4300001263618470,-11.592592239379900,-33.0,90.0,19.75,-0.6966670155525210,3.095237970352170,-290.0000915527340,209.88040161132800,0.0649106922427072,-2907.60009765625,0.0,-19.40349769592290,0.15000000596046400,-4.800000190734860,-20.466699600219700,-7.5,1.375,150.0
