BendDieBendingAngle,BendDieLateralMovement,ColletAxialForce,ColletAxialMovement,MandrelAxialForce,MandrelAxialMovement,PressureDieAxialForce,PressureDieAxialMovement,PressureDieLateralForce,WiperDieAxialForce,WiperDieLateralForce,WiperDieLateralMovement,Diameter tube [mm],Wallthickness tube [mm],Mandrel extraction before bending end [],Collet boost [-],Clearance pressure die [mm]
0.0,0.0,0.0,0.0,0.0,-51.219924927,0.0,-79.999992371,0.0,0.0,0.0,0.0,21.7,0.8,0,0.95,0.0
0.0,0.0030328135472,0.0,0.0,0.0,-51.219924927,0.0,-79.999992371,0.0,0.0,0.0,0.0,21.7,0.8,0,0.95,0.0
0.0,0.026271536946,0.0,0.0,0.0,-51.219924927,0.0,-79.999992371,0.0,0.0,0.0,0.0,21.7,0.8,0,0.95,0.0
0.0,0.08931979537,0.0,0.0,0.0,-51.219924927,0.0,-79.999992371,0.0,0.0,0.0,0.0,21.7,0.8,0,0.95,0.0
0.0,0.19702351093,0.0,0.0,-0.0037160678767,-51.219924927,0.0,-79.999992371,0.0,0.0,0.0,0.0,21.7,0.8,0,0.95,0.0
0.0,0.32661795616,8.483966703e-17,0.0,-0.22026261687,-51.219924927,0.0,-79.999992371,0.0,0.0,0.0,0.0025718007237,21.7,0.8,0,0.95,0.0
0.0,0.39268618822,0.87253516912,0.0,0.49291568995,-51.219924927,0.0,-79.999992371,0.0,0.0,0.0,0.11739639193,21.7,0.8,0,0.95,0.0
0.0,0.33042743802,-2.2554974556,0.0,-0.12029291689,-51.219924927,0.0,-79.999992371,0.0,0.0,0.0,0.02734012343,21.7,0.8,0,0.95,0.0
0.0,0.22010912001,0.77316224575,0.0,-0.19148471951,-51.219924927,0.0,-79.999992371,0.0,0.0,0.0,-0.051370400935,21.7,0.8,0,0.95,0.0
0.0,0.1242576614,-0.019501809031,0.0,0.39304599166,-51.219924927,0.0,-79.999992371,0.0,0.0,0.0,0.026762241498,21.7,0.8,0,0.95,0.0
0.0,0.072685077786,2.9060745239,0.0,-0.14724613726,-51.219924927,0.0,-79.999992371,0.0,-0.013443259522,-0.39734700322,-0.0018721676897,21.7,0.8,0,0.95,0.0
0.0,0.042372964323,1.6851812601,0.0,0.044347252697,-51.219924927,0.0,-79.999992371,0.0,0.011996587738,-0.24141161144,-0.080175638199,21.7,0.8,0,0.95,0.0
0.0,-0.0066626425833,-0.76438868046,0.0,0.23377925158,-51.219924927,0.0,-79.999992371,0.0,0.020250858739,-0.97223961353,-0.12303923815,21.7,0.8,0,0.95,0.0
0.0,-0.096825420856,-2.669301033,0.0,-0.17541381717,-51.219924927,0.0,-79.999992371,0.0,0.044364586473,-1.0333765745,-0.12824955583,21.7,0.8,0,0.95,0.0
0.0,-0.16140842438,0.4465585947,0.0,0.12631458044,-51.219924927,0.0,-79.999992371,0.0,0.017521066591,-1.7448152304,-0.16687576473,21.7,0.8,0,0.95,0.0
0.0,-0.17649494112,-0.82473611832,0.0,0.14507506788,-51.219924927,0.0,-79.999992371,0.0,0.00069425703259,-1.9814858437,-0.22443249822,21.7,0.8,0,0.95,0.0
0.0,-0.17552389205,3.9728343487,0.0,-0.138985008,-51.219924927,0.0,-79.999992371,0.0,0.070848762989,-2.4776568413,-0.28545215726,21.7,0.8,0,0.95,0.0
0.0,-0.19251391292,1.3846262693,0.0,0.22980897129,-51.219924927,0.0,-79.999992371,0.0,0.10781272501,-2.9178669453,-0.31192135811,21.7,0.8,0,0.95,0.0
0.0,-0.20951505005,-2.3531067371,0.0,-0.03493893519,-51.219924927,0.0,-79.999992371,0.0,0.12925964594,-2.9739091396,-0.29627466202,21.7,0.8,0,0.95,0.0
0.0,-0.20089954138,-1.3755048513,0.0,-0.055943664163,-51.219924927,0.0,-79.999992371,0.0,0.050146877766,-2.8059399128,-0.27222883701,21.7,0.8,0,0.95,0.0
0.0,-0.16679158807,0.67878139019,0.0,0.31226471066,-51.219924927,0.0,-79.999992371,0.0,-0.078041173518,-2.6282625198,-0.24666117132,21.7,0.8,0,0.95,0.0
0.0,-0.12600703537,1.3145010471,0.0,-0.072364397347,-51.219924927,0.0,-79.999992371,0.0,0.0023090660106,-2.0872588158,-0.19419181347,21.7,0.8,0,0.95,0.0
